,America,1991,1992,1993,1994,1995,199,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Dominican Republic,5.0,7.0,5.0,4.0,4.0,7.0,3.0,3.0,3.0,5.0,4.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,4.0,7.0,9.0,11.0,13.0,16.0,21.0,23.0,26.0,31.0,37.0,37.0,46.0
2,Guatemala,9.0,7.0,11.0,10.0,11.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,11.0,12.0,13.0,16.0,17.0,15.0,22.0,24.0,28.0,35.0,38.0,45.0,47.0,50.0
3,Haiti,13.0,11.0,12.0,13.0,11.0,11.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,8.0,8.0,9.0,9.0,7.0
4,Honduras,5.0,6.0,7.0,8.0,7.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,9.0,16.0,25.0,35.0,66.0,98.0,121.0
5,cuba,0.0,3.0,3.0,2.0,3.0,5.0,6.0,10.0,13.0,12.0,11.0,10.0,11.0,16.0,18.0,21.0,19.0,19.0,14.0,13.0,12.0,12.0,14.0,15.0,15.0,18.0,18.0,16.0,18.0,23.0,22.0,21.0
6,Mexico,31.0,34.0,33.0,30.0,26.0,34.0,29.0,24.0,28.0,29.0,26.0,27.0,25.0,29.0,32.0,32.0,31.0,32.0,40.0,42.0,55.0,66.0,86.0,103.0,118.0,150.0,176.0,212.0,267.0,351.0,407.0,475.0
7,Nicaragua,11.0,15.0,15.0,10.0,12.0,13.0,13.0,13.0,13.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,17.0,17.0,19.0,18.0,19.0,20.0,22.0,21.0,21.0
8,Canada,20.0,20.0,20.0,21.0,21.0,19.0,22.0,24.0,22.0,22.0,23.0,27.0,26.0,30.0,26.0,33.0,34.0,37.0,36.0,38.0,45.0,50.0,63.0,67.0,67.0,75.0,81.0,95.0,96.0,110.0,113.0,119.0
9,United States,203.0,208.0,219.0,230.0,230.0,234.0,228.0,219.0,222.0,220.0,196.0,205.0,207.0,209.0,209.0,220.0,246.0,247.0,252.0,264.0,269.0,287.0,302.0,322.0,323.0,329.0,351.0,357.0,374.0,368.0,391.0,399.0
10,Argentina,37.0,36.0,40.0,36.0,34.0,37.0,37.0,33.0,27.0,28.0,29.0,31.0,33.0,34.0,39.0,36.0,36.0,38.0,41.0,42.0,40.0,48.0,43.0,42.0,42.0,47.0,50.0,55.0,59.0,68.0,72.0,70.0
11,Bolivarian Republic of Venezuela,6.0,9.0,18.0,8.0,8.0,10.0,11.0,12.0,14.0,15.0,21.0,19.0,19.0,21.0,19.0,21.0,20.0,26.0,28.0,29.0,32.0,32.0,36.0,39.0,53.0,78.0,96.0,109.0,122.0,155.0,164.0,185.0
12,Brazil,49.0,65.0,61.0,64.0,62.0,62.0,75.0,70.0,66.0,65.0,68.0,73.0,84.0,82.0,82.0,95.0,94.0,84.0,101.0,108.0,113.0,119.0,119.0,125.0,133.0,142.0,150.0,175.0,195.0,237.0,245.0,262.0
13,Chile,43.0,42.0,39.0,37.0,41.0,39.0,38.0,39.0,40.0,41.0,39.0,41.0,43.0,39.0,40.0,38.0,39.0,43.0,44.0,44.0,41.0,48.0,47.0,55.0,59.0,56.0,59.0,61.0,70.0,71.0,71.0,73.0
14,Ecuador,14.0,13.0,12.0,13.0,14.0,15.0,15.0,14.0,15.0,13.0,15.0,13.0,17.0,16.0,17.0,15.0,16.0,16.0,18.0,17.0,18.0,19.0,23.0,25.0,30.0,38.0,45.0,54.0,65.0,79.0,87.0,110.0
15,Colombia,26.0,25.0,29.0,33.0,29.0,31.0,34.0,34.0,37.0,36.0,38.0,44.0,43.0,44.0,44.0,42.0,38.0,41.0,48.0,51.0,64.0,80.0,102.0,134.0,171.0,201.0,245.0,282.0,316.0,371.0,412.0,475.0
16,Paraguay,5.0,6.0,8.0,7.0,5.0,4.0,3.0,5.0,5.0,3.0,1.0,2.0,4.0,3.0,4.0,6.0,6.0,6.0,6.0,11.0,15.0,17.0,21.0,26.0,39.0,56.0,64.0,72.0,72.0,75.0,85.0,93.0
17,Peru,29.0,35.0,31.0,30.0,28.0,29.0,28.0,26.0,28.0,29.0,29.0,29.0,35.0,38.0,38.0,39.0,42.0,42.0,46.0,48.0,50.0,57.0,65.0,77.0,91.0,100.0,122.0,128.0,147.0,159.0,165.0,168.0
18,Plurinational State of Bolivia,35.0,32.0,34.0,26.0,27.0,30.0,32.0,33.0,35.0,31.0,33.0,35.0,36.0,37.0,34.0,36.0,35.0,36.0,37.0,33.0,37.0,35.0,35.0,42.0,44.0,46.0,51.0,59.0,66.0,72.0,78.0,86.0
19,Uruguay,0.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0
20,North America,223.0,228.0,239.0,251.0,252.0,253.0,250.0,243.0,244.0,242.0,219.0,232.0,233.0,239.0,235.0,253.0,280.0,284.0,288.0,302.0,314.0,337.0,365.0,389.0,390.0,404.0,432.0,452.0,470.0,478.0,504.0,518.0
21,Other North America,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Central America,88.0,96.0,99.0,91.0,85.0,100.0,88.0,84.0,92.0,93.0,88.0,90.0,91.0,98.0,99.0,101.0,102.0,104.0,111.0,109.0,125.0,140.0,173.0,203.0,230.0,286.0,333.0,400.0,492.0,647.0,744.0,860.0
23,Other Central America,14.0,13.0,13.0,14.0,11.0,13.0,12.0,12.0,12.0,14.0,13.0,11.0,14.0,12.0,11.0,11.0,15.0,19.0,20.0,19.0,19.0,20.0,26.0,30.0,31.0,39.0,48.0,59.0,75.0,94.0,103.0,119.0
24,South America,249.0,270.0,279.0,261.0,256.0,264.0,282.0,274.0,272.0,265.0,277.0,291.0,319.0,318.0,321.0,331.0,328.0,334.0,372.0,385.0,414.0,457.0,494.0,570.0,667.0,768.0,886.0,1.0,1.118,1.297,1.385,1.528
