,European Union,1991,1992,1993,1994,1995,199,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Belgium,265.0,263.0,253.0,262.0,253.0,244.0,257.0,246.0,253.0,242.0,241.0,239.0,235.0,224.0,222.0,228.0,231.0,239.0,246.0,255.0,274.0,299.0,297.0,297.0,306.0,321.0,332.0,343.0,356.0,389.0,0.0,423.0
2,Bulgaria (from 2007),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,541.0,652.0,770.0,927.0,1.111,1.277,1.427,1.554,1.634,1.715,1.774,1.834,1.883,1.947,1.975
3,Denmark,64.0,67.0,70.0,67.0,68.0,69.0,71.0,70.0,66.0,66.0,66.0,65.0,66.0,63.0,59.0,62.0,61.0,59.0,58.0,58.0,63.0,63.0,65.0,67.0,65.0,61.0,61.0,62.0,65.0,71.0,0.0,70.0
4,Estonia (since 2004),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,27.0,27.0,30.0,30.0,31.0,33.0,45.0,47.0,50.0,55.0,58.0,60.0,60.0,60.0,59.0,61.0,63.0
5,Finland (from 1995),0.0,0.0,0.0,0.0,79.0,90.0,94.0,84.0,97.0,99.0,103.0,106.0,113.0,111.0,109.0,112.0,106.0,110.0,108.0,108.0,107.0,106.0,108.0,111.0,108.0,112.0,115.0,117.0,115.0,110.0,114.0,116.0
6,France,330.0,330.0,336.0,338.0,335.0,328.0,322.0,330.0,333.0,338.0,352.0,362.0,360.0,366.0,382.0,383.0,398.0,407.0,416.0,425.0,433.0,446.0,470.0,483.0,483.0,510.0,543.0,574.0,599.0,629.0,673.0,706.0
7,Greece,752.0,773.0,783.0,800.0,816.0,864.0,890.0,882.0,908.0,954.0,1.014,1.083,1.162,1.265,1.357,1.453,1.554,1.708,1.863,2.016,2.224,2.556,2.847,3.011,3.017,3.119,3.147,3.169,3.216,3.123,2.973,2.972
8,Ireland,21.0,21.0,23.0,24.0,24.0,27.0,31.0,28.0,30.0,31.0,31.0,32.0,30.0,30.0,32.0,32.0,32.0,33.0,36.0,37.0,40.0,44.0,44.0,47.0,50.0,52.0,50.0,50.0,52.0,54.0,55.0,60.0
9,Italy,380.0,389.0,407.0,415.0,447.0,473.0,493.0,498.0,501.0,525.0,538.0,555.0,583.0,614.0,660.0,694.0,719.0,755.0,805.0,864.0,964.0,1.05,1.134,1.214,1.217,1.312,1.415,1.511,1.618,1.718,1.812,1.883
10,Croatia (from 2013),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,312.0,365.0,416.0,459.0,499.0,531.0,633.0,580.0,594.0
11,Latvia (from 2004),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,37.0,43.0,41.0,52.0,74.0,109.0,149.0,185.0,220.0,252.0,282.0,307.0,336.0,353.0,374.0,375.0,378.0
