
Bei den �rztekammern registrierte ausl�ndische �rztinnen und �rzte (Anzahl). Gliederungsmerkmale: Jahre, Region, Staatsb�rgerschaft, T�tigkeitsbereich
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Region:;Deutschland
T�tigkeitsbereich:;T�tigkeitsbereiche insgesamt
;"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";
"Alle L�nder";"10.653";"11.405";"11.963";"12.356";"12.727";"13.564";"13.769";"13.836";"14.243";"14.603";"15.143";"16.160";"17.318";"17.991";"18.582";"19.513";"20.434";"21.784";"23.469";"25.316";"28.355";"32.548";"35.893";"39.661";"42.604";"46.722";"50.808";"54.377";"58.167";"62.598";"63.076";"66.885";
"        Afrika";"530";"571";"598";"630";"630";"697";"723";"724";"730";"695";"758";"789";"786";"820";"813";"832";"850";"916";"1.028";"1.164";"1.369";"1.586";"1.823";"2.259";"2.584";"2.987";"3.430";"3.826";"4.277";"4.830";"5.207";"5.625";
"          �gypten";"111";"124";"118";"121";"110";"122";"124";"114";"119";"108";"120";"134";"124";"126";"131";"138";"150";"161";"186";"228";"289";"429";"580";"778";"903";"1.049";"1.226";"1.361";"1.549";"1.698";"1.717";"1.767";
"          Algerien";"9";"8";"10";"12";"14";"19";"20";"28";"32";"27";"27";"27";"28";"30";"29";"24";"22";"21";"21";"23";"22";"19";"27";"34";"42";"52";"69";"108";"135";"205";"276";"337";
"          Angola";"1";"7";"8";"7";"9";"7";"8";"7";"8";"5";"5";"5";"4";"4";"4";"3";"2";"2";"2";"2";"2";"2";"3";"4";"2";"3";"3";"3";"4";"4";"2";"2";
"          �quatorialguinea";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";
"          �thiopien";"61";"72";"83";"84";"72";"63";"51";"50";"46";"42";"45";"39";"43";"41";"35";"39";"41";"43";"38";"38";"34";"32";"26";"28";"34";"31";"33";"32";"33";"35";"30";"26";
"          Benin (Dahomey)";"3";"2";"2";"2";"1";"4";"5";"1";"2";"4";"3";"2";"-";"1";"2";"2";"2";"2";"2";"3";"3";"4";"4";"5";"4";"5";"6";"6";"6";"7";"7";"6";
"          Botsuana";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"2";"2";"2";"4";"3";"3";
"          Burkina Faso (Obervolta)";"1";"-";"-";"-";"-";"-";"-";"2";"1";"2";"2";"1";"-";"1";"3";"2";"2";"1";"2";"3";"4";"4";"5";"5";"5";"5";"6";"6";"7";"6";"6";"6";
"          Burundi";"3";"3";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"-";"-";"-";"2";"3";"4";"5";"4";"5";
"          C�te d Ivoire (Elfenbeink�ste)";"-";"-";"2";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"2";"3";"3";"4";"4";"1";"2";"1";"3";"4";"5";"4";"4";"4";"3";"2";"1";"3";"2";
"          Demokratische Republik Kongo (Zaire)";"5";"7";"8";"7";"4";"7";"7";"7";"7";"7";"6";"5";"5";"5";"4";"4";"5";"4";"3";"1";"2";"3";"3";"2";"1";"2";"3";"2";"3";"6";"7";"4";
"          Dschibuti";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"1";"2";"2";"4";"3";
"          Eritrea";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"2";"2";"2";"1";"-";"1";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"2";"3";"5";"8";"7";
"          Gabun";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"2";"2";"3";"4";"4";"5";"7";"9";"11";"11";"11";"11";"13";"14";"14";
"          Gambia";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";
"          Ghana";"86";"89";"90";"95";"97";"101";"93";"92";"90";"80";"82";"86";"88";"93";"92";"92";"93";"93";"89";"89";"78";"76";"66";"63";"62";"66";"71";"73";"74";"76";"80";"84";
"          Guinea";"6";"5";"6";"2";"-";"-";"-";"1";"1";"1";"3";"5";"7";"7";"3";"2";"2";"2";"3";"5";"4";"3";"3";"3";"6";"6";"4";"3";"3";"4";"4";"4";
"          Guinea-Bissau";"-";"-";"-";"2";"4";"3";"1";"2";"2";"1";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";"1";
"          Kamerun";"4";"5";"8";"20";"29";"32";"40";"39";"55";"57";"68";"70";"69";"71";"77";"102";"110";"121";"124";"132";"137";"137";"143";"153";"170";"177";"192";"203";"216";"225";"234";"235";
"          Kenia";"5";"6";"6";"6";"6";"7";"12";"9";"7";"6";"6";"6";"8";"11";"12";"13";"16";"15";"14";"16";"25";"28";"29";"34";"34";"39";"44";"51";"55";"54";"55";"56";
"          Kongo";"-";"-";"-";"1";"1";"1";"2";"2";"2";"2";"3";"6";"6";"4";"2";"2";"3";"3";"3";"3";"2";"2";"2";"2";"3";"3";"5";"4";"5";"5";"5";"5";
"          Lesotho";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";
"          Liberia";"2";"2";"3";"3";"3";"3";"4";"2";"2";"3";"3";"2";"2";"2";"2";"2";"2";"3";"2";"2";"2";"1";"1";"2";"2";"1";"1";"1";"2";"2";"1";"1";
"          Libyen";"25";"29";"37";"54";"77";"119";"150";"158";"153";"144";"140";"134";"133";"144";"147";"146";"155";"190";"283";"356";"492";"542";"574";"679";"730";"807";"874";"897";"890";"909";"885";"914";
"          Madagaskar";"3";"5";"5";"4";"2";"1";"2";"1";"1";"-";"-";"-";"-";"-";"1";"-";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"1";"1";"-";"2";"2";"2";
"          Malawi";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"          Mali";"8";"9";"8";"6";"7";"6";"4";"4";"5";"6";"5";"7";"8";"9";"5";"3";"3";"3";"3";"3";"2";"3";"4";"4";"4";"2";"3";"3";"4";"4";"5";"3";
"          Marokko";"11";"10";"9";"8";"10";"11";"19";"18";"17";"18";"18";"19";"21";"25";"23";"25";"25";"26";"24";"30";"33";"38";"43";"56";"82";"117";"143";"182";"249";"355";"487";"653";
"          Mauretanien";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"4";"4";"3";"2";"1";"3";"3";"6";
"          Mauritius";"4";"7";"7";"7";"7";"7";"7";"7";"7";"7";"6";"6";"6";"5";"5";"5";"5";"4";"4";"5";"7";"13";"30";"36";"41";"55";"60";"70";"82";"81";"88";"94";
"          Mosambik";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";
"          Namibia";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"2";"3";"1";"1";"3";
"          Niger";"2";"1";"-";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"          Nigeria";"56";"48";"55";"56";"53";"54";"49";"48";"42";"40";"42";"44";"47";"45";"49";"46";"45";"44";"47";"48";"52";"54";"64";"66";"78";"89";"103";"118";"130";"158";"174";"182";
"          Ruanda";"-";"-";"-";"2";"2";"2";"1";"-";"1";"1";"1";"1";"1";"2";"-";"-";"-";"-";"-";"-";"1";"1";"1";"2";"2";"2";"4";"4";"4";"10";"3";"3";
"          Sambia";"1";"1";"-";"-";"-";"-";"-";"1";"3";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"5";"3";"4";
"          S�o Tom� und Pr�ncipe";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"29";"30";"29";"32";"32";"29";"16";"14";"14";"8";"4";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"          Senegal";"-";"1";"-";"-";"-";"-";"1";"1";"2";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"1";"1";"1";"2";"2";"2";
"          Seychellen";"-";"-";"-";"-";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"3";"2";"2";
