,Libyan Doctors By Region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Baden0Württemberg,2.0,1.0,2.0,2.0,3.0,2.0,7.0,11.0,14.0,14.0,17.0,20.0,15.0,17.0,15.0,21.0,26.0,28.0,40.0,39.0,45.0,40.0,22.0,35.0,42.0,44.0,52.0,55.0,50.0,54.0,56.0,60.0
2,Bavaria,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,6.0,4.0,2.0,1.0,2.0,2.0,4.0,5.0,11.0,10.0,11.0,19.0,16.0,20.0,25.0,32.0,26.0,26.0,33.0,40.0,52.0
3,Berlin,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,7.0,7.0,5.0,4.0,4.0,11.0,16.0,31.0,38.0,55.0,48.0,53.0,49.0,44.0,31.0,36.0,28.0,26.0,24.0,24.0,30.0
4,Brandenburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,15.0,14.0,18.0,21.0,21.0,23.0,21.0
5,Bremen,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,6.0,7.0,10.0,25.0,35.0,20.0,12.0,10.0,10.0,11.0,13.0,14.0,18.0,22.0,19.0,18.0
6, Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,8.0,6.0,2.0,2.0,3.0,4.0,4.0,5.0
7,Hesse,3.0,2.0,3.0,4.0,4.0,6.0,8.0,9.0,9.0,9.0,9.0,8.0,6.0,5.0,5.0,6.0,6.0,11.0,22.0,24.0,40.0,38.0,33.0,37.0,42.0,50.0,53.0,50.0,48.0,47.0,37.0,34.0
8,Mecklenburg-Vorpommern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,2.0,5.0,5.0,4.0,6.0,6.0,7.0,6.0,9.0
9,Lower Saxony,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,5.0,5.0,7.0,7.0,9.0,29.0,35.0,49.0,57.0,86.0,112.0,108.0,126.0,117.0,133.0,130.0,135.0,142.0,159.0
10,North Rhine-Westphalia,18.0,23.0,29.0,42.0,59.0,91.0,112.0,111.0,104.0,92.0,82.0,76.0,84.0,98.0,107.0,96.0,87.0,98.0,125.0,154.0,210.0,265.0,282.0,353.0,364.0,390.0,419.0,446.0,450.0,447.0,421.0,415.0
11,Rhineland-Palatinate,0.0,0.0,0.0,1.0,4.0,9.0,13.0,13.0,11.0,9.0,7.0,8.0,8.0,6.0,6.0,5.0,6.0,10.0,10.0,17.0,33.0,40.0,40.0,31.0,47.0,58.0,64.0,56.0,53.0,56.0,53.0,60.0
12,Saarland,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,9.0,9.0,4.0,7.0,7.0,7.0
13,Saxony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,1.0,1.0,4.0,6.0,9.0,8.0,9.0,13.0,13.0,16.0
14,Saxony-Anhalt,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,6.0,9.0,12.0,10.0,18.0,19.0,19.0,22.0,18.0,18.0,14.0
15,Schleswig-Holstein,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,7.0,11.0,20.0,15.0,10.0,10.0,8.0,6.0
16,Thuringia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,6.0,7.0,11.0,12.0,14.0,11.0,14.0,8.0
